aisle1,aisle2,bought_together
fresh vegetables,fresh vegetables,224647
fresh fruits,fresh vegetables,181948
fresh fruits,fresh fruits,147079
fresh vegetables,fresh fruits,126157
fresh fruits,packaged vegetables fruits,91674
packaged vegetables fruits,fresh vegetables,88728
fresh vegetables,packaged vegetables fruits,81038
packaged vegetables fruits,fresh fruits,66848
fresh fruits,yogurt,52251
yogurt,fresh vegetables,50929
yogurt,fresh fruits,48769
yogurt,yogurt,43234
fresh fruits,packaged cheese,42050
packaged vegetables fruits,packaged vegetables fruits,41718
fresh vegetables,packaged cheese,38851
fresh vegetables,yogurt,36282
packaged cheese,fresh vegetables,34967
milk,fresh fruits,31712
milk,fresh vegetables,31268
fresh vegetables,fresh herbs,29069
yogurt,packaged vegetables fruits,28386
fresh fruits,chips pretzels,28209
packaged cheese,fresh fruits,27200
soy lactosefree,fresh vegetables,27093
baby food formula,baby food formula,26444
fresh fruits,frozen produce,25316
fresh herbs,fresh vegetables,24475
water seltzer sparkling water,fresh vegetables,24002
water seltzer sparkling water,fresh fruits,23935
eggs,fresh vegetables,23139
fresh vegetables,frozen produce,22867
soy lactosefree,fresh fruits,22544
packaged vegetables fruits,yogurt,21810
fresh fruits,water seltzer sparkling water,21647
fresh fruits,soy lactosefree,21490
fresh fruits,milk,21380
fresh vegetables,chips pretzels,21315
frozen produce,fresh vegetables,21078
fresh fruits,bread,21032
packaged vegetables fruits,packaged cheese,20823
bread,fresh vegetables,20680
fresh fruits,crackers,19237
fresh fruits,fresh herbs,19103
fresh fruits,ice cream ice,18821
fresh vegetables,canned jarred vegetables,18718
chips pretzels,fresh vegetables,18645
packaged cheese,packaged vegetables fruits,18471
fresh fruits,refrigerated,18341
refrigerated,fresh vegetables,18339
fresh vegetables,soy lactosefree,18202
fresh fruits,energy granola bars,17770
bread,fresh fruits,17767
eggs,fresh fruits,17579
milk,packaged vegetables fruits,17438
refrigerated,fresh fruits,17319
yogurt,packaged cheese,17291
fresh vegetables,soup broth bouillon,17202
chips pretzels,fresh fruits,17113
fresh fruits,lunch meat,16880
fresh vegetables,bread,16347
frozen meals,frozen meals,16189
fresh vegetables,water seltzer sparkling water,16128
fresh fruits,baby food formula,16107
water seltzer sparkling water,water seltzer sparkling water,15911
fresh fruits,fresh dips tapenades,15791
fresh vegetables,ice cream ice,15735
fresh vegetables,canned meals beans,15231
frozen produce,fresh fruits,15195
fresh vegetables,milk,14985
fresh fruits,eggs,14902
fresh fruits,cereal,14779
lunch meat,fresh vegetables,14410
milk,yogurt,14397
